Title,Genre,Director,Actor,Synopsis,Img
천박사 퇴마 연구소: 설경의 비밀,"판타지, 액션",김성식,"강동원, 허준호, 이솜, 이동휘, 김종수","대대로 마을을 지켜 온 당주집 장손이지만
정작 귀신은 믿지 않는 가짜 퇴마사 ‘천박사’(강동원).

사람의 마음을 꿰뚫는 통찰력으로 가짜 퇴마를 하며, 의뢰받은 사건들을 해결해 오던 그에게
귀신을 보는 의뢰인 ‘유경’(이솜)이 찾아와 거액의 수임료로 거절하기 힘든 제안을 한다.

‘천박사’는 파트너 ‘인배’(이동휘)와 함께 ‘유경’의 집으로 향하고 그곳에서 벌어지는 사건을 쫓으며
자신과 얽혀 있는 부적인 ‘설경’의 비밀을 알게 되는데…

귀신을 믿지 않는 가짜 퇴마사!
그의 세계를 흔드는 진짜 사건이 나타났다!",https://www.kobis.or.kr/common/mast/movie/2023/09/5acf1deb1d8a45a8ac19c1d754b7bf04.jpg
뉴 노멀,스릴러,정범식,"최지우, 이유미, 최민호, 표지훈, 하다인, 정동원","새로운 시대가 열렸다.
오늘, 당신의 공포는 일상이 된다.",https://www.kobis.or.kr/common/mast/movie/2023/10/1cca91cc0d3a4ac3bef00c217fe562de.jpg
스트리머,"공포(호러), 미스터리",장형모,"이푸름, 권민혁, 김준형, 심소영","산 사람은 붉게, 귀신은 파랗게
모든 것이 생중계된다!

한 BJ가 남긴 기괴한 영상의 진위를 밝히겠다며 한 폐건물로 모인 5명의 스트리머들.
각자 라이브 방송을 진행하며 건물을 살펴보던 그들의 섬뜩하고 소름 끼치는 현장은 그야말로
리얼하게 생중계 되는데…",https://www.kobis.or.kr/common/mast/movie/2023/04/1e7ae04541a5431a86de91ad71c564e5.jpg
나는 여기에 있다,"범죄, 액션, 스릴러",신근호,"조한선, 정진운","과거, 살인자를 검거하는 과정에서
칼에 폐를 찔린 후 장기 이식을 통해
기적적으로 살아난 형사 ‘선두’(조한선)

수사 일선에 복귀한 그는 연쇄 살인범 ‘규종’(정진운)을 쫓던 중
장기 이식 코디네이터 ‘아승’(노수산나)을 통해
‘규종’이 자신과 같은 공여자의 장기를 이식받은 것은 물론,
공여자가 과거 자신이 검거했던 살인자라는 것을 알게 되는데…

피 끓는 형사 VS 폭주하는 살인자
지독한 운명에 얽힌 두 남자의 극한 추격이 시작된다!",https://www.kobis.or.kr/common/mast/movie/2023/04/e30f2d244ff34501bba257370e49eaa4.jpg
소년들,"드라마, 범죄",정지영,"설경구, 유준상, 진경, 허성태, 염혜란","이것이 무슨 수사여? 똥이제!

1999년 전북 삼례의 작은 슈퍼마켓에서 강도 살인 사건이 발생한다.
경찰의 수사망은 단번에 동네에 사는 소년들 3인으로 좁혀지고,
하루아침에 살인자로 내몰린 이들은 영문도 모른 채 감옥에 수감된다.

이듬해 새롭게 반장으로 부임 온 베테랑 형사 '황준철'(설경구)에게
진범에 대한 제보가 들어오고, 그는 소년들의 누명을 벗겨주기 위해 재수사에 나선다.
하지만 당시 사건의 책임 형사였던 '최우성'(유준상)의 방해로
모든 것이 수포로 돌아가고, '황반장'은 좌천된다.

그로부터 16년 후,
'황반장' 앞에 사건의 유일한 목격자였던 '윤미숙'(진경)과 소년들이 다시 찾아오는데…",https://www.kobis.or.kr/common/mast/movie/2023/10/3b4b88c6a73e4787bc68d912d49a0149.jpg
마루이 비디오,"미스터리, 공포(호러)",윤준형,"서현우, 조민경",검찰청에 출입하던 기자가 유출되면 안되는 영상 자료들이 모여있는 자료실에서 한 저주받은 비디오에 대한 소문을 듣고 이를 취재하기 시작한다. 흩어져 버린 과거의 기록들을 하나하나 찾던 도중 제작팀은 점점 알 수 없는 사건들과 연관이 있다는 것을 알아내지만 파헤치면 파헤칠수록 기이하고 미스터리한 현상들이 그들 주변에서 일어나기 시작하는데…,https://www.kobis.or.kr/common/mast/movie/2023/02/9af853f734834b03982502b6f8615f5d.jpg
멍뭉이,드라마,김주환,"유연석, 차태현","동생 같은 반려견 ‘루니’를 위해 정시 퇴근에 진심인 ‘민수’
결혼을 앞둔 그에게 닥친 집사 인생 조기 로그아웃 위기!

야심 차게 오픈한 카페는 말아먹고 인생 자체가 위기인 사촌형 '진국',
'민수'의 다급한 SOS에 고심하다 새 집사 면접을 제안하게 되고.

완벽한 집사를 찾기 위해 제주도로 향하는 두 형제의 여정에 느닷없는 멍뭉이들의 등장이 이어지는데!

뜻밖의 ‘견’명적인 만남
함께 하면 개신나고! 개따뜻한!
개귀엽 버라이어티 무비!",https://www.kobis.or.kr/common/mast/movie/2023/03/2deb0cc636634736864fa94b8cf6c636.jpg
밀수,액션,류승완,"김혜수, 염정아, 조인성, 박정민, 김종수, 고민시","열길 물속은 알아도 한길 사람 속은 모른다!

평화롭던 바닷가 마을 군천에 화학 공장이 들어서면서 하루아침에 일자리를 잃은 해녀들.

먹고 살기 위한 방법을 찾던 승부사 '춘자'(김혜수)는

바다 속에 던진 물건을 건져 올리기만 하면 큰돈을 벌 수 있다는

밀수의 세계를 알게 되고 해녀들의 리더 '진숙'(염정아)에게 솔깃한 제안을 한다.

위험한 일임을 알면서도 생계를 위해 과감히 결단을 내린 해녀 '진숙'은

전국구 밀수왕 '권 상사'를 만나게 되면서 확 커진 밀수판에 본격적으로 빠지게 된다.

그러던 어느 날, 일확천금을 얻을 수 있는 일생일대의 기회가 찾아오고

사람들은 서로를 속고 속이며 거대한 밀수판 속으로 휩쓸려 들어가기 시작하는데...

물길을 아는 자가 돈길의 주인이 된다!",https://www.kobis.or.kr/common/mast/movie/2023/06/a68cc44d22d84acf9d861d5c931a4254.jpg
보호자,"액션, 드라마",정우성,"김남길, 김준한, 박성웅, 박유나, 정우성","“살면서 내가 선택했던 모든 것을 다 후회했어”


10년 만에 출소한 ‘수혁’(정우성)은 자신에게 딸이 있다는 사실을 알게 되고
조직을 떠나 평범하게 살기로 결심한다.
‘수혁’의 출소를 기다리던 보스 ‘응국’(박성웅)은 ‘수혁’에게 배신감을 느끼고
자신의 오른팔이자 조직의 2인자 ‘성준’(김준한)에게 그를 감시하라 지시한다.
‘수혁’에 대한 열등감으로 가득 찬 ‘성준’은
일명 세탁기라 불리는 2인조 해결사 ‘우진’(김남길)과 ‘진아’(박유나)에게
‘수혁’을 제거할 것을 의뢰하고
자신들의 방식대로 무자비하게 타겟을 처리하는 이들은 ‘수혁’을 죽이기 위해 접근하는데…


평범한 삶, 가장 위험한 꿈이 되었다",https://www.kobis.or.kr/common/mast/movie/2023/07/e4f9959e6aa84e3b92eaf6e93977df00.jpg
더 문,"SF, 액션, 드라마",김용화,"설경구, 도경수, 박병은, 조한철, 최병모, 홍승희","2029년, 대한민국의 달 탐사선 우리호가 달을 향한 여정에 나선다.
위대한 도전에 전 세계가 주목하지만 태양 흑점 폭발로 인한 태양풍이
우리호를 덮치고 ‘황선우’(도경수) 대원만이 홀로 남겨진다.

대한민국의 우주선이 달로 향한 것이 이번이 처음은 아니었다.
5년 전, 원대한 꿈을 안고 날아올랐지만
모두가 지켜보고 있는 가운데 공중 폭발로 산산이 부서졌던 나래호.
또다시 일어난 비극에 유일한 생존자인 선우를 지키기 위해
나로 우주센터 관계자들과 정부는 총력을 다하고 온 국민이 그의 생존을 염원한다.

선우를 무사 귀환시키기 위해서 5년 전 나래호 사고의 책임을 지고
산에 묻혀 지내던 전임 센터장 ‘김재국’(설경구)이 다시 합류하지만,
그의 힘만으로는 역부족이다.

선우를 구출할 또 다른 희망인 NASA 유인 달 궤도선 메인 디렉터 ‘윤문영’(김희애)에게
도움을 청해보지만 그마저 쉽지 않다.
재국은 또다시 누군가를 잃지 않기 위해 마지막으로 자신의 모든 것을 걸어 보는데….

우주에 홀로 고립된 대원과 그의 무사 귀환에 모든 것을 건 남자
살기 위한, 살려내기 위한 고군분투가 시작된다.",https://www.kobis.or.kr/common/mast/movie/2023/08/b9b13d4a5ce94150a8ee0522f60b978f.jpg
